2304	100	0	1	84300000000010000000000	ZUSUN00001
8079	100	0	2	84300000000020000000000	ZUSUN00002
3988	100	0	3	84300000000030000000000	ZUSUN00003
3989	100	0	3	84300000000040000000000	ZUSUN00004
3990	100	0	3	84300000000050000000000	ZUSUN00005
3991	100	0	3	84300000000060000000000	ZUSUN00006
3992	100	0	3	84300000000070000000000	ZUSUN00007
6430	100	0	3	84300000000080000000000	ZUSUN00008
11300	100	0	3	84300000000090000000000	ZUSUN00009
11301	100	0	3	84300000000100000000000	ZUSUN00010
11302	100	0	3	84300000000110000000000	ZUSUN00011
11303	100	0	3	84300000000120000000000	ZUSUN00012
6360	100	0	1	84300000000130000000000	ZUSUN00013
6359	100	0	1	84300000000140000000000	ZUSUN00014
